   X          Y        
1  -0.0323495 1.51896  
2  0.981212   1.656    
3  1.94196    1.70154  
4  3.00338    1.73399  
5  3.96363    1.75992  
6  6.94556    1.84424  
7  8.00666    1.86362  
8  8.96707    1.89609  
9  10.0285    1.92853  
10 5.02456    1.77276  
11 6.03565    1.81176  
12 10.9382    1.95448  
13 11.9995    1.98039  
14 12.6566    1.99986  
15 12.745     1.50311  
16 12.9949    1.39848  
17 13.7525    1.39831  
18 14.3587    1.40471  
19 15.0658    1.40456  
20 15.6718    1.40443  
21 16.3789    1.40427  
22 16.8334    1.40418  
23 17.5405    1.40402  
24 0.934503   103.166  
25 1.9951     103.051  
26 3.00503    99.6727  
27 4.01513    99.5626  
28 4.97522    109.262  
29 6.08632    109.141  
30 7.04542    99.2325  
31 7.904      99.139   
32 8.96476    102.291  
33 10.0255    105.444  
34 11.0355    102.066  
35 11.995     101.961  
36 12.6013    105.163  
37 12.781     -336.033 
38 12.7254    -437.334 
39 12.9797    -401.414 
40 13.2347    -352.422 
41 13.6911    -316.524 
42 13.9956    -287.145 
43 14.5023    -254.521 
44 14.7565    -221.869 
45 15.4147    -189.261 
46 15.9204    -176.244 
47 16.3253    -159.948 
48 16.6801    -133.843 
49 17.287     -117.569 
50 17.439     -107.782 
51 17.6412    -104.536 
